,num_mcts_sims,percent_perfect_games,avg_scores
0,5,0.9,0.9626666066666669
1,10,0.94,0.9803333133333334
2,15,0.916,0.9776666666666667
3,20,0.918,0.9675
4,25,0.904,0.9604999600000002
5,30,0.932,0.9728332733333332
6,35,0.948,0.9731666266666665
7,40,0.934,0.9678332733333332
8,45,0.956,0.9773333333333334
9,50,0.928,0.9715
10,55,0.928,0.9676666466666668
11,60,0.938,0.9783333333333334
12,65,0.922,0.9691666466666667
13,70,0.914,0.957
14,75,0.946,0.97349996
15,80,0.932,0.9693333333333334
16,85,0.918,0.9651666666666666
17,90,0.94,0.9666666466666668
18,95,0.958,0.9821666666666666
19,100,0.934,0.9661666466666667
